,Actual Location,Clouds(%),Country,Date,Humidity(%),Latitude,Longitude,Max_temp,Min_temp,Pressure(hpa),Returned Location,Temparature(in celcius),Time,Weather_Condition,Weather_Description,Wind_Speed(m/s)
0,Cheras,75,MY,06/29/2018,69,3.1072,101.7165,28.0,26.0,1012,Cheras,26.93,13:01:32,Rain,light rain,3.6
1,Sandakan,75,MY,06/29/2018,59,5.8402,118.1179,32.0,32.0,1008,Sandakan,32.0,13:01:33,Clouds,broken clouds,1.5
2,Kajang,75,MY,06/29/2018,94,2.99,101.7886,28.0,26.0,1011,Kajang,27.01,13:01:34,Rain,light rain,1.5
3,Seremban,75,MY,06/29/2018,94,2.7248,101.9345,28.0,25.0,1011,Seremban,26.35,13:01:35,Rain,light rain,1.5
4,Kuantan,75,MY,06/29/2018,78,3.8197,103.3292,28.0,28.0,1010,Kuantan,28.0,13:01:36,Clouds,broken clouds,2.1
5,Tawau,75,MY,06/29/2018,70,4.2635,117.893,31.0,31.0,1009,Tawau,31.0,13:01:37,Clouds,broken clouds,4.1
6,Kuala Terengganu,75,MY,06/29/2018,70,5.3302,103.1408,31.0,31.0,1009,Kuala Terengganu,31.0,13:01:38,Clouds,broken clouds,2.1
7,Miri,75,MY,06/29/2018,66,4.4148,114.0089,31.0,31.0,1009,Miri,31.0,13:01:39,Clouds,broken clouds,3.6
8,Kota Bharu,75,MY,06/29/2018,66,6.1256,102.2393,31.0,30.0,1009,Kota Bharu,30.39,13:01:40,Clouds,broken clouds,1.5
9,Selayang Baru,75,MY,06/29/2018,69,3.21,101.64,-245.15,-247.15,1012,Kepong,-246.27,13:01:41,Rain,light rain,3.6
10,Subang Jaya,75,MY,06/29/2018,69,3.0568,101.5855,28.0,26.0,1012,Subang Jaya,26.92,13:01:42,Rain,light rain,3.6
11,Kuala Lumpur,75,MY,06/29/2018,69,3.1547,101.7136,28.0,26.0,1012,Kuala Lumpur,26.92,13:01:43,Rain,light rain,3.6
12,Klang,75,MY,06/29/2018,69,3.0472,101.4492,28.0,26.0,1012,Klang,26.91,13:01:44,Rain,light rain,3.6
13,Johor Bahru,75,MY,06/29/2018,88,1.4953,103.7551,26.0,24.0,1011,Johor Bahru,24.74,13:01:45,Thunderstorm,thunderstorm,1.5
14,Ampang,75,MY,06/29/2018,69,3.1521,101.7322,28.0,26.0,1012,Ampang,26.92,13:01:46,Rain,light rain,3.6
15,Ipoh,90,MY,06/29/2018,100,4.592,101.0833,25.0,22.0,1013,Ipoh,23.77,13:01:47,Rain,heavy intensity rain,2.1
16,Shah Alam,75,MY,06/29/2018,69,3.0686,101.5183,28.0,26.0,1012,Shah Alam,26.9,13:01:48,Rain,light rain,3.6
17,Kuching,75,MY,06/29/2018,74,1.5574,110.344,29.0,29.0,1010,Kuching,29.0,13:01:49,Clouds,broken clouds,2.6
18,Petaling Jaya,75,MY,06/29/2018,69,3.1056,101.6427,28.0,26.0,1012,Petaling Jaya,26.91,13:01:50,Rain,light rain,3.6
