,review_id,user_id,business_id,stars,date,text,useful,funny,cool,sentiment
0,MW2bnPXpZ4QK2lKX1xU4lw,SRA86Xyf9fbOAhICWttMLQ,AyuE2AyyKSZj97SNLAHM9w,4,2013-12-01,"For a Saturday evening, the service at Sbarro was pretty quick. The server took my order and heated up my pepperoni and cheese stromboli right away, as she scooped my salad and filled my drink.

There was a pretty good selection of pizzas, stuffed pizzas and 2 other kinds of stromboli. 

The pepperoni and cheese stromboli is amazing. It was a good pepperoni to cheese to bread ratio, and it was not too salty.

We went back to try the broccoli, chicken and cheese stromboli but that was nothing like the pepperoni and cheese. Don't even bother.",0,0,0,positive
1,JVuldryLxILr0Aj1b3wWCA,7FhKf2tuC8HUUFm5tPiqgA,AyuE2AyyKSZj97SNLAHM9w,1,2016-08-13,"This was my first experience with Sbarro. Will not go again. I ordered two pepperoni slices. They were not hot whatsoever when I received them. There was no sauce on it and barely any cheese. It was basically just dough with pepperonis on it. The check out lady was not friendly, did not ask me how I wanted to pay - she assumed it was debit and walked away to do something else. I waited for her to come back to tell her it was cash and she was visibly annoyed. Terrible experience.",1,0,0,positive
2,7kbimvdKhqRutx4bk5pAWA,AuTgb6rJsT5J70hPJSTIeQ,AyuE2AyyKSZj97SNLAHM9w,1,2013-11-19,"If you like to eat cardboard instead of pizza, eat there. 
No customer service, they messing up the orders, overcharging your bill. At least, they are well trained at fooling the customers.
Do not go in weekends.",4,0,0,negative
3,UK-_cLF5jaQoZ0CEsgMrlA,MLe-x4FDHPeDFmaSx7L-aQ,AyuE2AyyKSZj97SNLAHM9w,1,2017-05-04,"Yeah, this was pretty bad and a waste of as starving to death and loaded up with spaghetti w\/ meatballs and a slice of pizza to chase it down. The spaghetti was very soft and the meatballs were maybe 3\/4 cooked. The pizza was subpar and had looked like it had been sitting around all day but wasn't, it was straight out of the oven. The meal wasn't cheap either, over $20. I can honestly say I won't be back.",0,0,0,positive
4,t3u_WnApMh4Ksly8WTO72g,fHdNrSQhhkCF4Pq1nWnMyA,AyuE2AyyKSZj97SNLAHM9w,1,2016-01-09,"Did not enjoy my experience here at all. Yes, I understand that it's in a mall food court so technically I shouldn't expect much, but all the other food places in the urban eatery are much better than this.

I went just after 8pm where they advertise buy one slice of pizza, get one free as an end of the day special.  The girl working there almost didn't want to give us the special even though it was clearly after 8pm....kinda confusing. She just had a weird attitude and lacked any customer service skills. Anyways,  she warmed up 2 slices, and both tasted really bad. Dry, no flavour, it was almost hard to get any motivation to eat it....I mean, I think I would've preferred getting a slice if pepperoni pizza from 7-11 for much less! 

Even with the bogo free deal, I wouldn't recommend it, definitely not worth the $5.",2,0,0,positive
5,QGDqvOOKgXSqVydJpyy4Hw,5QkhcvE5fs2ICulnz-g3-A,AyuE2AyyKSZj97SNLAHM9w,1,2014-10-08,"Overpriced and not good.
Had a pizza craving and ordered a pizza slice from here. The bottom crust was soft (soggy) and the slice couldn't hold it's shape or toppings; the whole thing fell apart before I could even take my first bite. It was stressful trying to eat it and tasted extremely disappointing, definitely did not do anything for my pizza craving. After googling other pizza joints, I realized pizza pizza was only 5 mins down the block from dundas so went there to get my pizza fix instead",3,0,0,positive
6,ZzvWhUPH0n77vAh-UFZhvQ,sonUrqJj5qzJafD4TpdOEw,AyuE2AyyKSZj97SNLAHM9w,1,2014-11-24,"It was mediocre at best. Had a Stromboli, which was massive to begin with and then they tacked on two breadsticks for the combo. I'm not sure how they expect someone to eat that much dough. Only managed about 50% of the Stromboli. The quality just wasn't there.",1,0,0,positive
7,Akfwv5-p16HmMUBqE3eT5A,HOKngwcMBbb8Sa-jl4ZzJw,AyuE2AyyKSZj97SNLAHM9w,1,2017-09-27,"I wish I had checked the reviews on this place before stopping here for a quick lunch. I get that it's food court food, but it's not cheap either and for the price I paid I expect better service. The workers seemed disinterested and entirely unhelpful. The pasta was overcooked and lacked any real flavor - I could've cooked better pasta myself! Would not recommend this place to anyone. You're better off eating at Pizza Pizza just down on Yonge St.",0,0,0,positive
8,Ixl1ulPjiFhKPg_qmsi3qg,j2lnC2KZk8mQC4mZSTBTWQ,AyuE2AyyKSZj97SNLAHM9w,1,2017-07-01,"Bad customer service especially the cashier. She is so RUDE to the customers.  date: June 27, 2017 1pm",0,0,0,negative
9,WadH_9cVtr9P2TJzr0dTHA,Jq4zBE23tTSqk2j2aUXM0A,AyuE2AyyKSZj97SNLAHM9w,1,2016-12-12,5.20 for 1 slice of pizza is overpriced to begin with. It doesn't help that it was so overseasoned It tasted like I was eating pure onions in oil and nothing else.,1,0,0,positive
