,review_id,user_id,business_id,stars,date,text,useful,funny,cool,sentiment
0,Y86_1k446dBK9VoHm7okLg,xYciRtVZ1PW4IxSX4oJ1aw,xFkUn2tIJY0vkcm1Hl5m_A,1,2016-05-08,"I got the ""Our Burger"" for take out - which if I remember correctly it consisted of lettuce, tomato, pickles, patty and some sauce....

How can you call yourself a burger joint when you eff up the patty?!! It was OVERCOOKED, there's a difference between medium cooked and still juicy vs OVERCOOKED and dry af. The same thing happened to 2 of my other coworkers as well so it didn't happen to just me. Not going back!",7,3,0,neutral
1,vIOhUe9gi_4wv-UCd2RQ-Q,UByCy7oxeiqFKOLmGUVm3g,xFkUn2tIJY0vkcm1Hl5m_A,3,2016-05-01,"Let's preface this with the fact that burgers are not on the top of my favourite foods list.

Ordered the melt which is almost $11 without fries which cost another $3.50.
SO ordered the original upped to 8oz patty with tater tots.

Service is friendly and prompt.  We received our drinks timely and the food didn't take that long to come out.  some of the other reviews commented on small portions.  We found all the food tasty and the portions were a good size and more than filling for an average appetite.  The melt was a perfectly toasted bread sandwiching a juicy patty with american cheese (they call it government cheese), pickles, onions, and mustard.  The fries were perfectly crispy and the tater tots were equally crispy and tasty.

The bill was $40 before tip for 2 soft drinks, 2 burgers, and fries and tater tots.  Yes, seems a bit pricey but it is downtown pricing and it is Wahlburgers.  I would say the burgers are better than Burger Works but not nearly as good as Burgers Priest if you're looking for comparisons.",1,0,0,positive
2,8AHqngF2N750lxwRvMRpXA,5QlJcroZyTs4AUFZoCNg0Q,xFkUn2tIJY0vkcm1Hl5m_A,4,2015-08-25,"On our way to the Blue Jays game my friend Bobby and I decided we would make my wife jealous and hit up Wahlburgers. It was a great experience that I would recommend to anyone.

They have a nice little restaurant on Blue Jays Way near the Rogers Center. It has a nice design with an eat in area in the front and take out at the back near the kitchens. They also have a small balcony area for take out people to eat if there is room. We didn't want to wait for a table so we headed to the back for takeout.

I ordered the Double Decker and Fries while Bobby had the OFD (Originally from Dorcester) and some Tater Tots. We both really enjoyed our food. Everything was really fresh and tasted great. Next time I think I will get the triple because I was still a little hungry but that's my fault for not getting enough.

We were lucky enough to score a table upstairs to eat so we hung out, ate and watched the Jays fans make their way to the game. I will definitly be eating here next time I go to a game.",3,1,3,positive
3,vdzlrFFEkkuq0NsgUFRCFg,IbwI369hSb9lkdWPeAYmgw,xFkUn2tIJY0vkcm1Hl5m_A,3,2015-01-28,"Mediocre burgers that come with quite the price tag! These burgers lack the juiciness in the patty that I'm looking for and is very messy to eat! I get that it's finger food the proportion of sauce just isn't right.

The fries with the wahl sauce (or whatever it's called) was meh. The fries were not fresh and lack that crisp I was looking for.  

This place is gimmicky and people come here because of the Mark wahlburg name. If I had the option to come back here again, I probably wouldn't and rather go to Holy Chuck or something.",4,0,0,positive
4,tBkvmAYKUuWdCgbBn_VbNQ,7kr07YT8aajBy3NG9R-5pg,xFkUn2tIJY0vkcm1Hl5m_A,1,2016-08-20,"Just grabbed take out because my boyfriend was craving burgers.. we'd never been to Walburgers before, so we thought we'd give it a shot. 
We were severely disappointed. I ordered the ""our"" burger and it was overcooked to the point it was dry as dust. I'm usually pretty easy to please when it comes to dining out.. but this was exceptionally bad. 
My boyfriend's burger was slightly more edible. He had the BBQ burger. He also ordered a side of Mac and cheese that resembled soup with bread crumbs and bacon on top. 
Our food was clearly reheated and not made to order, as the cooks in the back seemed more interested in socializing and watching whatever was on TV than cooking. 

Really really disappointed.",2,0,0,negative
5,0-sVn8jHfInvsKjHUUh52Q,iFmMV7pHYqhqpK9Ctm4xQA,xFkUn2tIJY0vkcm1Hl5m_A,2,2014-11-05,"I was very disappointed.

Not impressed with the decor. The prices, including the drink menu, were on the high end of average. The place seemed to want to have a home-y feel, but it just didn't. Plastic green chairs don't seem to work with $15 drinks- it just seemed gimmicky. Pictures of the Wahlburgs everywhere, obviously, and TVs playing clips from Mark's movies. I don't know what else I expected, but it seemed a little weird.

Food- the food actually was good. The burger, which was around $11, was fantastic! It didn't come with sides, which made it overpriced. The group I was with got tater tots and onion rings as sides. The tater tots were good, the onion ""rings"" were actually the kind of crispy onions that are supposed to go on a burger. Good, but hard to eat? 

The 2 stars were for the very good burger, the three missing are for the service. The server forgot both of our sides. She mentioned that they had just opened, which I totally understand, but her forgetting to put in half of what we ordered has nothing to do with them just opening. Their debit machine was down for a few minutes- THAT is 100% not her fault. Putting the order in was. Service was also slow, and we'd been finished for at least 15 minutes before anyone came to see if we were done, wanted a bill, etc.

Also, 18% service charge. Really? Someone below said that if you complain about 18% you shouldn't be eating there, but I disagree- it's the principle. I always try to tip decently well. (Management wise- I wonder if the servers SEE all of those tips.....) 

I would go again for take out only. Not to dine in. And even so, for the price, I'd probably end up elsewhere.",7,2,1,positive
6,ufooOQGiEsdoBxQEK_g_Og,sshFkUFhpOiwbNG6zn1CWw,xFkUn2tIJY0vkcm1Hl5m_A,2,2015-02-18,Went here because of the TV show. Now that I've been there I don't think I'd go back.  Burgers are decent but overpriced.,0,0,0,positive
7,LRdnnjW2ytP77wKFUp5iyQ,PBvpXupmUfsdRx1JMbbAzw,xFkUn2tIJY0vkcm1Hl5m_A,3,2014-12-09,"Came here on a Sunday evening with my family with 2 small kiddies. The space easily accommodated us and our stroller. Ambience and staff were easy going.

We ordered the ""our burger"", the Dorchester, sweet tots and onion rings. We loved the ""our burger"" and ended up ordering another round of the our burger. (Definitely could easily eat 2 burgers). The first ""our burger"" was cooked medium to medium well on some areas, which OK considering it was stated on the menu that, that's how it's cooked. However I would of liked it if it were either consistently medium or consistently medium well... Not just different areas! Also the onion rings (as stated on the menu)... Umm I expected rings not shreds of deep fried onion. Wasn't sure how to eat it... Went from eating few shreds of a time by hand to using a fork, which wasn't very effective. Beware of the ""onion rings"". The sweet tots were ok. Overall, the ""our burger"" stood out the most.

It took quite a longer time than the usual fast paced burger joints to get our burgers served. However the staff were friendly. 

It's a good place to hang with friends and watch a game and good enough to bring your family.",0,0,0,positive
8,IlSeROuNK2XC-qr0HbJASA,_MgLTYNm3vFfgyNX3yvjYg,xFkUn2tIJY0vkcm1Hl5m_A,4,2015-01-03,"Good burger (Our Burger), better than I expected.  Very good light bun and good beef.

The restaurant was very busy on a Saturday afternoon, which made the service very slow.

I would go back and try a different burger.",0,0,0,positive
9,Mdc-5nlQQGAMjdTiiJC5dw,-AFYNh-Pw70SuYjR_-p7Pg,xFkUn2tIJY0vkcm1Hl5m_A,4,2017-02-26,"Okay, had no idea this was a thing. Of all celebrities to have a restaurant chain, I think Mark Whalburg would have been the last one I would have guessed.
That aside, my husband and I would recommend the poutine, and the sweet tater tots were amazing. 
Bathrooms are on the second floor.",1,0,1,positive
